Class,Group
Anchor Handling Vessel,Offshore Support & Work Vessels
Articulated Pusher Tug,Tugs & Towage
Asphalt/Bitumen Tanker,Tankers
Base Station,Specialized Service Vessels
Bulk Carrier,Cargo Vessels
Bulker,Cargo Vessels
Bunkering Tanker,Tankers
Buoy-laying Vessel,Offshore Support & Work Vessels
Cable Layer,Offshore Support & Work Vessels
Cargo,Cargo Vessels
Cargo A,Cargo Vessels
Cargo B,Cargo Vessels
Cargo C,Cargo Vessels
Cargo D,Cargo Vessels
Cargo/Container Ship,Cargo Vessels
Chemical Tanker,Tankers
Container Ship,Cargo Vessels
Crane Ship,Offshore Support & Work Vessels
Crew Boat,Specialized Service Vessels
Crude Oil Tanker,Tankers
Cutter Suction Dredger,Dredgers
Diving Support Vessel,Offshore Support & Work Vessels
Diving ops,Offshore Support & Work Vessels
Dredging or underwater ops,Dredgers
Factory Trawler,Fishing & Research Vessels
Fish Factory,Fishing & Research Vessels
Fishery Research Vessel,Fishing & Research Vessels
Fishing,Fishing & Research Vessels
Fishing Vessel,Fishing & Research Vessels
General Cargo,Cargo Vessels
Grab Hopper Dredger,Dredgers
Heavy Lift Vessel,Offshore Support & Work Vessels
Heavy Load Carrier,Offshore Support & Work Vessels
High speed craft,Passenger & Pleasure Craft
Hospital Ship,Military
Landing Craft,Specialized Service Vessels
Law Enforcement,Military
Livestock Carrier,Cargo Vessels
Lpg Tanker,Tankers
Lpg/Chemical Tanker,Tankers
Military ops,Military
Motor Hopper,Dredgers
Multi Purpose Offshore Vessel,Offshore Support & Work Vessels
Navigation Aid,Specialized Service Vessels
Noncombatant ship,Military
Not available,Unspecified/Others
Obo Carrier,Cargo Vessels
Offshore Supply Ship,Offshore Support & Work Vessels
Oil Products Tanker,Tankers
Oil/Chemical Tanker,Tankers
Ore Carrier,Cargo Vessels
Ore/Oil Carrier,Cargo Vessels
Other Type,Unspecified/Others
Other Type A,Unspecified/Others
Other Type B,Unspecified/Others
Other Type C,Unspecified/Others
Other Type D,Unspecified/Others
Pallet Carrier,Cargo Vessels
Passenger,Passenger & Pleasure Craft
Passengers Ship,Passenger & Pleasure Craft
Patrol Vessel,Military
Pilot Ship,Specialized Service Vessels
Pilot Vessel,Specialized Service Vessels
Pipe Layer,Offshore Support & Work Vessels
Pipelay Crane Vessel,Offshore Support & Work Vessels
Pleasure Craft,Passenger & Pleasure Craft
Port Tender,Specialized Service Vessels
Pusher Tug,Tugs & Towage
Rail/Vehicles Carrier,Cargo Vessels
Reefer,Cargo Vessels
Reefer/Container Ship,Cargo Vessels
Replenishment Vessel,Military
Research/Survey Vessel,Fishing & Research Vessels
Reserved,Unspecified/Others
Reserved for future use,Unspecified/Others
Ro-Ro Cargo,Cargo Vessels
Ro-Ro/Passenger Ship,Passenger & Pleasure Craft
Sailing,Passenger & Pleasure Craft
Sailing Vessel,Passenger & Pleasure Craft
Search and Rescue vessel,Military
Self Discharging Bulk Carrier,Cargo Vessels
Shuttle Tanker,Tankers
Spare - Local Vessel,Unspecified/Others
Standby Safety Vessel,Offshore Support & Work Vessels
Stone Carrier,Cargo Vessels
Tanker,Tankers
Tanker A,Tankers
Tanker B,Tankers
Tanker C,Tankers
Tanker D,Tankers
Towing,Tugs & Towage
Towing > 200m OR Breadth > 25m,Tugs & Towage
Trailing Suction Hopper Dredger,Dredgers
Trawler,Fishing & Research Vessels
Trenching Support Vessel,Offshore Support & Work Vessels
Tug,Tugs & Towage
Utility Vessel,Specialized Service Vessels
Vehicles Carrier,Cargo Vessels
Wing in ground ,Specialized Service Vessels
Wood Chips Carrier,Cargo Vessels
Work Vessel,Specialized Service Vessels
Yacht,Passenger & Pleasure Craft
